Marca temporal,Puntuación,Team NUMBER,"1. En promedio, ¿cuánto tardan en cambiar los bumpers?","2. ¿Tienen una checklist de rutina del robot antes de cada partida?

Nota: Deben mostrarla o demostrarla; no basta con responder 'sí'.","3. ¿Tienen refacciones para mecanismos del robot?

Nota: Deben mostrar o demostrar las refacciones.","4. ¿El robot requiere especificaciones críticas de arranque que afecten su eficiencia?

Nota: Si existe, que sea algo muy específico a criterio del scouter.","5. ¿Usan tornillería estandarizada (mismas medidas)?

Nota: Deben mostrar o demostrarlo.","6. ¿La estructura mecánica general es suficientemente robusta?

Nota: Se espera un 'Sí' con total seguridad.","7. ¿Es fácil cambiar la batería?

Nota: Debe poder hacerlo cualquier persona sin dificultad.","8. ¿Cuentan con equipamiento/herramientas suficientes?

Nota: Más que sólo taladro y Allen.","9. ¿Hay componentes que reparen constantemente o sufran mantenimiento excesivo?

Nota: La última opción se considera incorrecta.","10. Como examinador, ¿cómo te sentiste al evaluar al equipo?

Nota: Se espera que nunca te hayas sentido mal; especifica cualquier inconformidad."
17/10/2025 18:29:59,9 / 9,9999,Menos de 3 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,No,Muy bien
17/10/2025 18:34:36,9 / 9,6702,Menos de 3 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,No,Bien
17/10/2025 18:02:52,8 / 9,3472,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,Bien si cumplia todo
17/10/2025 18:06:04,8 / 9,3478,Menos de 3 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo","Muy bien, fueron lindos."
17/10/2025 18:08:58,8 / 9,4010,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,"Bien, había personas interesadas en responder las preguntas "
17/10/2025 18:10:08,8 / 9,5133,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,Bastante satisfecho con los resultados y las preguntas en cuestión.
17/10/2025 18:21:14,8 / 9,5959,3–5 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,No,Confusion (ellos) pero en general apesar de eso no senti molestias
17/10/2025 18:24:22,8 / 9,4635,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,Muy bien.
18/10/2025 12:57:24,8 / 9,3526,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,"Bien, fueron abiertos y honestos"
18/10/2025 15:40:44,8 / 9,3158,Menos de 3 minutos,No,Sí,No,Sí,Sí,Cumple,Cumple,No,Muy bien
